County of Residence,Deaths,Number of Cases
Harris,6,680
Dallas,13,631
Tarrant,1,273
Travis,2,244
Bexar,9,207
Denton,4,206
Collin,1,184
Fort Bend,2,163
Galveston,0,106
Lubbock,2,100
Brazoria,1,95
Montgomery,0,93
Brazos,2,53
El Paso,0,50
Williamson,1,50
Hidalgo,0,46
Webb,2,45
Bell,1,44
McLennan,1,44
Hays,0,38
Wichita,0,38
Smith,1,37
Nueces,0,34
Jefferson,0,27
Cameron,0,26
Matagorda,1,25
Ellis,1,20
Guadalupe,0,17
Washington,0,17
Midland,1,16
Victoria,0,16
Taylor,0,14
Hardin,1,13
Johnson,1,12
Comal,2,11
Ector,0,11
Potter,0,10
Bowie,0,9
Chambers,0,9
Rockwall,0,9
Tom Green,0,9
Bastrop,0,8
Castro,0,8
Grayson,0,8
Calhoun,0,7
Hockley,0,7
Kendall,0,7
Orange,0,7
Wharton,0,7
Gregg,0,6
Hood,0,6
Randall,0,6
Angelina,0,5
Rusk,0,5
Val Verde,0,5
Walker,0,5
Wilson,0,5
Cherokee,0,4
De Witt,0,4
Fayette,0,4
Hunt,0,4
Kaufman,0,4
Nacogdoches,0,4
Navarro,0,4
Parker,0,4
Polk,0,4
Starr,0,4
Terry,0,4
Uvalde,0,4
Brown,0,3
Burnet,0,3
Cass,0,3
Dawson,0,3
Eastland,0,3
Grimes,0,3
Harrison,0,3
Hopkins,0,3
Lamar,0,3
Liberty,0,3
Llano,0,3
Medina,0,3
Waller,0,3
Wise,0,3
Young,0,3
Atascosa,0,2
Austin,0,2
Colorado,0,2
Crane,0,2
Deaf Smith,0,2
Erath,0,2
Hill,0,2
Karnes,0,2
Leon,0,2
Limestone,0,2
Lynn,0,2
Milam,0,2
Oldham,1,2
Robertson,0,2
San Patricio,0,2
Shelby,0,2
Upshur,0,2
Van Zandt,1,2
Willacy,0,2
Anderson,0,1
Blanco,0,1
Burleson,0,1
Caldwell,0,1
Camp,0,1
Clay,0,1
Comanche,0,1
Coryell,0,1
Falls,0,1
Fannin,0,1
Franklin,0,1
Gaines,0,1
Gonzales,0,1
Gray,0,1
Hale,0,1
Henderson,0,1
Jackson,0,1
Kerr,0,1
Kleberg,0,1
Lamb,0,1
Lavaca,0,1
Live Oak,0,1
Martin,0,1
Maverick,0,1
Montague,0,1
Moore,0,1
Morris,0,1
Newton,0,1
San Augustine,0,1
San Jacinto,0,1
Swisher,0,1
Wood,0,1
