Status,Number of Cases
Current_Hospitalized,11.0
Current_Hospitalized_Percentag,4.0
Hospitalized,45.0
Hospitalized Percentage,14.0
Deaths,10.0
Deaths Percentage,3.0
Recovered,183.0
Recovered Percentage,58.0
ICU,27.0
ICU Percentage,60.0
Current_ICU,6.0
Current_ICU_Percentage,55.0
Ventilator,17.0
Ventilator Percentage,38.0
Current_Vent,1.0
Current_Vent_Percentage,9.0
Travel Acquired,26.0
Travel Acquired Percentage,8.0
Locally Acquired,260.0
Locally Acquired Percentage,83.0
Total Cases,313.0
Tests_Performed,3491.0
